id,company,ticker,exchange,cik,items,sector,filerCategory,revenue,revenueFY,city,hq,formerName,event,filed,deadline,quote,source,profile
"0001193125-26-385301","AEVEX Corp.","AVEX","NYSE","2096300","2.01 7.01 9.01","Aircraft","Emerging growth company","","","SOLANA BEACH","CA","Aevex Corp.","2026-09-08","2026-09-08","","Following the closing, BlackSea becomes AEVEX’s Maritime Systems division, led by former BlackSea CEO, Bob Pudney, to preserve its mission-focused culture, deep customer relationships, and at-scale maritime manufacturing.","https://www.sec.gov/Archives/edgar/data/2096300/000119312526385301/0001193125-26-385301-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=2096300&type=8-K&dateb=&owner=include&count=40"
"0001683168-26-007007","International Stem Cell CORP","","","1355790","2.01 9.01","Life Sciences","","","","SAN DIEGO","CA","BTHC III INC.","2026-09-01","2026-09-08","","","https://www.sec.gov/Archives/edgar/data/1355790/000168316826007007/0001683168-26-007007-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1355790&type=8-K&dateb=&owner=include&count=40"
"0000893847-26-000091","HAWTHORN BANCSHARES, INC.","HWBK","Nasdaq","893847","2.01 7.01 9.01","National Commercial Banks","Accelerated filer · Smaller reporting company","","","JEFFERSON CITY","MO","EXCHANGE NATIONAL BANCSHARES INC","2026-09-03","2026-09-04","","We welcome the Farmers State Bank team, customers and communities to Hawthorn.","https://www.sec.gov/Archives/edgar/data/893847/000089384726000091/0000893847-26-000091-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=893847&type=8-K&dateb=&owner=include&count=40"
"0001104659-26-105512","CONX Corp.","","","1823000","1.01 1.02 2.01 9.01","Real Estate Operators (No Developers) & Lessors","Non-accelerated filer · Smaller reporting company","2022698","2024","LITTLETON","CO","","2026-09-01","2026-09-04","","","https://www.sec.gov/Archives/edgar/data/1823000/000110465926105512/0001104659-26-105512-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1823000&type=8-K&dateb=&owner=include&count=40"
"0001193125-26-383671","LIVEPERSON INC","LPSN","Nasdaq","1102993","2.01 3.01 3.03 5.01 5.02 5.03 8.01 9.01","Services-Prepackaged Software","Accelerated filer · Smaller reporting company","243742000","2025","NEW YORK","NY","","2026-09-04","2026-09-04","","","https://www.sec.gov/Archives/edgar/data/1102993/000119312526383671/0001193125-26-383671-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1102993&type=8-K&dateb=&owner=include&count=40"
"0001213900-26-097399","USA Rare Earth, Inc.","","","1970622","1.01 2.01 2.03 3.02 5.02 7.01 8.01 9.01","","","","","","","","2026-09-03","2026-09-04","","Page 3 of 4 Additional risks and detailed information regarding factors that may cause actual results to differ materially has been and will be included in our filings with the SEC, including our most recently filed Annual Report on Form 10-K and any subsequent Quarterly Reports on Form 10-Q and subsequent filings.","https://www.sec.gov/Archives/edgar/data/1970622/000121390026097399/0001213900-26-097399-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1970622&type=8-K&dateb=&owner=include&count=40"
"0001213900-26-097712","SOUNDHOUND AI, INC.","SOUN","Nasdaq","1840856","1.01 2.01 3.02 5.02 7.01 8.01 9.01","Services-Prepackaged Software","Large accelerated filer","168920000","2025","CLAYMONT","DE","","2026-09-04","2026-09-04","","New Chief Financial Officer Appointed Following an extensive executive search, SoundHound AI has selected John Collins to join the company as its Chief Financial Officer.","https://www.sec.gov/Archives/edgar/data/1840856/000121390026097712/0001213900-26-097712-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1840856&type=8-K&dateb=&owner=include&count=40"
"0001213900-26-097770","Greenland Mines Ltd","GRML","Nasdaq","1907223","1.01 2.01 3.02 5.03 5.07 9.01","Biological Products, (No Diagnostic Substances)","Emerging growth company","","","OMAHA","NE","","2026-09-01","2026-09-04","","","https://www.sec.gov/Archives/edgar/data/1907223/000121390026097770/0001213900-26-097770-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1907223&type=8-K&dateb=&owner=include&count=40"
"0001477932-26-005420","Global Asset Management Group, Inc.","","","55234","1.01 2.01 2.03 3.02 3.03 5.02 8.01 9.01","Trade & Services","","","","ROCKVILLE","MD","KENILWORTH SYSTEMS CORP","2026-08-28","2026-09-04","","","https://www.sec.gov/Archives/edgar/data/55234/000147793226005420/0001477932-26-005420-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=55234&type=8-K&dateb=&owner=include&count=40"
"0000950142-26-002481","G III APPAREL GROUP LTD /DE/","GIII","Nasdaq","821002","1.01 2.01 2.02 7.01 9.01","Apparel & Other Finishd Prods of  Fabrics & Similar Matl","Large accelerated filer","2957012000","2026","NEW YORK","NY","ANTE CORP","2026-09-01","2026-09-02","","Morris Goldfarb, G-III's Chairman and Chief Executive Officer, said, ""Our second quarter results reflect strong execution across the organization, with earnings exceeding our guidance, driven by substantial gross margin expansion.","https://www.sec.gov/Archives/edgar/data/821002/000095014226002481/0000950142-26-002481-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=821002&type=8-K&dateb=&owner=include&count=40"
"0001006837-26-000110","INNOVATE Corp.","","","1006837","1.01 1.02 2.01 7.01 9.01","Manufacturing","","","","NEW YORK","NY","HC2 HOLDINGS, INC.","2026-08-28","2026-09-02","","The transaction follows the completion of the Broadcasting segment s refinancing announced on June 1, 2026.","https://www.sec.gov/Archives/edgar/data/1006837/000100683726000110/0001006837-26-000110-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1006837&type=8-K&dateb=&owner=include&count=40"
"0001104659-26-104796","CHASE GENERAL CORP","","","15357","1.01 2.01 9.01","Manufacturing","","","","ST JOSEPH","MO","CHASE CANDY CO","2026-08-31","2026-09-02","","","https://www.sec.gov/Archives/edgar/data/15357/000110465926104796/0001104659-26-104796-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=15357&type=8-K&dateb=&owner=include&count=40"
"0001193125-26-380190","FiscalNote Holdings, Inc.","NOTE","OTC","1823466","1.01 2.01 7.01 9.01","Services-Business Services, NEC","Accelerated filer · Smaller reporting company","95407000","2025","WASHINGTON","DC","Duddell Street Acquisition Corp.","2026-08-27","2026-09-02","","August 27, 2026 FiscalNote Holdings, Inc. (OTCID: NOTE) ( FiscalNote or the Company ), a global leader in AI-driven policy and regulatory intelligence, today announced the successful divestiture of FrontierView, its market intelligence business, to Oxford Economics, the world s foremost independent economic advisory firm.","https://www.sec.gov/Archives/edgar/data/1823466/000119312526380190/0001193125-26-380190-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1823466&type=8-K&dateb=&owner=include&count=40"
"0001213900-26-096446","Rank One Computing Corp","ROC","Nasdaq","2077709","2.01 8.01 9.01","Services-Prepackaged Software","Emerging growth company","16979679","2025","DENVER","CO","","2026-08-31","2026-09-02","","In connection with the completed acquisition, historical financial statements and pro forma financial information will be made available, pursuant to applicable SEC rules.","https://www.sec.gov/Archives/edgar/data/2077709/000121390026096446/0001213900-26-096446-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=2077709&type=8-K&dateb=&owner=include&count=40"
"0001493152-26-041208","NUTRA PHARMA CORP","","","1119643","5.01","Life Sciences","","","","BOCA RATON","FL","CYBER VITAMIN COM","2026-08-21","2026-09-02","","","https://www.sec.gov/Archives/edgar/data/1119643/000149315226041208/0001493152-26-041208-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1119643&type=8-K&dateb=&owner=include&count=40"
"0001753926-26-001687","TWINLAB CONSOLIDATED HOLDINGS, INC.","","","1590695","1.01 1.03 2.01 2.04 2.06 7.01 8.01 9.01","Life Sciences","","","","BOCA RATON","FL","MIRROR ME, INC.","2026-08-21","2026-09-02","","","https://www.sec.gov/Archives/edgar/data/1590695/000175392626001687/0001753926-26-001687-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1590695&type=8-K&dateb=&owner=include&count=40"
"0001829126-26-009632","Exascale Labs Holdings Inc.","","","2109869","1.01 1.02 2.01 3.01 3.03 4.01 5.01 5.02 5.03 5.06 7.01 9.01","Technology","","","","NEW YORK","NY","D. Boral ARC Merger Corp","2026-08-27","2026-09-02","","","https://www.sec.gov/Archives/edgar/data/2109869/000182912626009632/0001829126-26-009632-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=2109869&type=8-K&dateb=&owner=include&count=40"
"0001062993-26-004704","ENERGY FUELS INC","UUUU","NYSE","1385849","2.01 3.02 9.01","Mining & Quarrying of  Nonmetallic Minerals (No Fuels)","Large accelerated filer","65922000","2025","LAKEWOOD","CO","","2026-08-28","2026-08-28","","","https://www.sec.gov/Archives/edgar/data/1385849/000106299326004704/0001062993-26-004704-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1385849&type=8-K&dateb=&owner=include&count=40"
"0001683168-26-006767","INTRUSION INC","","","736012","1.01 2.01 2.03 5.07 9.01","Technology","","","","PLANO","TX","INTRUSION COM INC","2026-08-28","2026-08-28","","","https://www.sec.gov/Archives/edgar/data/736012/000168316826006767/0001683168-26-006767-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=736012&type=8-K&dateb=&owner=include&count=40"
